IsMachine	GpPath	GpName	RegKey	RegName	ASR-Audit	ASR-Audit||Option	ASR-Audit||Type	ASR-Block	ASR-Block||Option	ASR-Block||Type	ASR-Off	ASR-Off||Option	ASR-Off||Type	ASR-Warn	ASR-Warn||Option	ASR-Warn||Type	BlockMacrosFromRunningInOfficeFilesFromTheInternet	BlockMacrosFromRunningInOfficeFilesFromTheInternet||Option	BlockMacrosFromRunningInOfficeFilesFromTheInternet||Type	DisableAllUnsignedMacros-basic	DisableAllUnsignedMacros-basic||Option	DisableAllUnsignedMacros-basic||Type	DisableAllUnsignedMacros-reqTrustedPub	DisableAllUnsignedMacros-reqTrustedPub||Option	DisableAllUnsignedMacros-reqTrustedPub||Type	DisableAllUnsignedMacros-strict	DisableAllUnsignedMacros-strict||Option	DisableAllUnsignedMacros-strict||Type	DisableUnsignedVbaAddins	DisableUnsignedVbaAddins||Option	DisableUnsignedVbaAddins||Type	DisableAllTrustedLocations	DisableAllTrustedLocations||Option	DisableAllTrustedLocations||Type	DisableAllVBA	DisableAllVBA||Option	DisableAllVBA||Type	LegacyFileBlock	LegacyFileBlock||Option	LegacyFileBlock||Type	ScanEncryptedMacros	ScanEncryptedMacros||Option	ScanEncryptedMacros||Type
false	Microsoft Access 2016\Application Settings\Security\Trust Center\	VBA Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\access\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Access 2016\Application Settings\Security\Trust Center\	VBA Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\access\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Access 2016\Application Settings\Security\Trust Center\	VBA Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\access\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Access 2016\Application Settings\Security\Trust Center\Trusted Locations\	Disable all trusted locations	software\policies\microsoft\office\16.0\access\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
false	Microsoft Excel 2016\Excel Options\Security\	Scan encrypted macros in Excel Open XML workbooks	software\policies\microsoft\office\16.0\excel\security	excelbypassencryptedmacroscan																																					0	Scan encrypted macros (default)	REG_DWORD
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Block macros from running in Office files from the Internet	software\policies\microsoft\office\16.0\excel\security	blockcontentexecutionfrominternet													1	Enabled	REG_DWORD																								
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Disable Trust Bar Notification for unsigned application add-ins and block them	software\policies\microsoft\office\16.0\excel\security	notbpromptunsignedaddin																									1	Enabled	REG_DWORD												
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Macro Notification Settings	software\policies\microsoft\office\16.0\excel\security	vbawarnings																3	Disable VBA macros except digitally signed macros	REG_DWORD	3	Disable VBA macros except digitally signed macros	REG_DWORD	3	Disable VBA macros except digitally signed macros	REG_DWORD															
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\excel\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\excel\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\excel\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\	Require that application add-ins are signed by Trusted Publisher	software\policies\microsoft\office\16.0\excel\security	requireaddinsig																									1	Enabled	REG_DWORD												
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	dBase III / IV files	software\policies\microsoft\office\16.0\excel\security\fileblock	dbasefiles																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Dif and Sylk files	software\policies\microsoft\office\16.0\excel\security\fileblock	difandsylkfiles																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 2 macrosheets and add-in files	software\policies\microsoft\office\16.0\excel\security\fileblock	xl2macros																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 2 worksheets	software\policies\microsoft\office\16.0\excel\security\fileblock	xl2worksheets																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 3 macrosheets and add-in files	software\policies\microsoft\office\16.0\excel\security\fileblock	xl3macros																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 3 worksheets	software\policies\microsoft\office\16.0\excel\security\fileblock	xl3worksheets																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 4 macrosheets and add-in files	software\policies\microsoft\office\16.0\excel\security\fileblock	xl4macros																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 4 workbooks	software\policies\microsoft\office\16.0\excel\security\fileblock	xl4workbooks																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 4 worksheets	software\policies\microsoft\office\16.0\excel\security\fileblock	xl4worksheets																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 95 workbooks	software\policies\microsoft\office\16.0\excel\security\fileblock	xl95workbooks																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 95-97 workbooks and templates	software\policies\microsoft\office\16.0\excel\security\fileblock	xl9597workbooksandtemplates																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Excel 97-2003 workbooks and templates	software\policies\microsoft\office\16.0\excel\security\fileblock	xl97workbooksandtemplates																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Set default file block behavior	software\policies\microsoft\office\16.0\excel\security\fileblock	openinprotectedview																																		0	Blocked files are not opened	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings\	Web pages and Excel 2003 XML spreadsheets	software\policies\microsoft\office\16.0\excel\security\fileblock	htmlandxmlssfiles																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Excel 2016\Excel Options\Security\Trust Center\Trusted Locations\	Disable all trusted locations	software\policies\microsoft\office\16.0\excel\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\	Scan encrypted macros in PowerPoint Open XML presentations	software\policies\microsoft\office\16.0\powerpoint\security	powerpointbypassencryptedmacroscan																																					0	Scan encrypted macros (default)	REG_DWORD
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	Block macros from running in Office files from the Internet	software\policies\microsoft\office\16.0\powerpoint\security	blockcontentexecutionfrominternet													1	Enabled	REG_DWORD																								
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	Disable Trust Bar Notification for unsigned application add-ins and block them	software\policies\microsoft\office\16.0\powerpoint\security	notbpromptunsignedaddin																									1	Enabled	REG_DWORD												
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	Require that application add-ins are signed by Trusted Publisher	software\policies\microsoft\office\16.0\powerpoint\security	requireaddinsig																									1	Enabled	REG_DWORD												
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\powerpoint\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	VBA Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\powerpoint\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	VBA Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\powerpoint\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\	VBA Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\powerpoint\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\File Block Settings\	"PowerPoint 97-2003 presentations, shows, templates and add-in files"	software\policies\microsoft\office\16.0\powerpoint\security\fileblock	binaryfiles																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\File Block Settings\	Set default file block behavior	software\policies\microsoft\office\16.0\powerpoint\security\fileblock	openinprotectedview																																		0	Blocked files are not opened	REG_DWORD			
false	Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center\Trusted Locations\	Disable all trusted locations	software\policies\microsoft\office\16.0\powerpoint\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
false	Microsoft Project 2016\Project Options\Security\	Previous-version file formats	software\policies\microsoft\office\16.0\ms project\security	legacyfiles																																		0	Do not open or save	REG_DWORD			
false	Microsoft Project 2016\Project Options\Security\Trust Center\	Disable all trusted locations	software\policies\microsoft\office\16.0\ms project\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
false	Microsoft Project 2016\Project Options\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\ms project\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
false	Microsoft Publisher 2016\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\publisher\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
false	Microsoft Publisher 2016\Security\Trust Center\	VBA Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\publisher\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Publisher 2016\Security\Trust Center\	VBA Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\publisher\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Publisher 2016\Security\Trust Center\	VBA Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\publisher\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	Block macros from running in Office files from the Internet	software\policies\microsoft\office\16.0\visio\security	blockcontentexecutionfrominternet													1	Enabled	REG_DWORD																								
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	Disable all trusted locations	software\policies\microsoft\office\16.0\visio\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\visio\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	VBA Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\visio\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	VBA Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\visio\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\	VBA Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\visio\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\File Block Settings\	"Visio 2000-2002 Binary Drawings, Templates and Stencils"	software\policies\microsoft\office\16.0\visio\security\fileblock	visio2000files																																		2	Open/Save blocked	REG_DWORD			
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\File Block Settings\	"Visio 2003-2010 Binary Drawings, Templates and Stencils"	software\policies\microsoft\office\16.0\visio\security\fileblock	visio2003files																																		2	Open/Save blocked	REG_DWORD			
false	Microsoft Visio 2016\Visio Options\Security\Trust Center\File Block Settings\	"Visio 5.0 or earlier Binary Drawings, Templates and Stencils"	software\policies\microsoft\office\16.0\visio\security\fileblock	visio50andearlierfiles																																		2	Open/Save blocked	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\	Block macros from running in Office files from the Internet	software\policies\microsoft\office\16.0\word\security	blockcontentexecutionfrominternet													1	Enabled	REG_DWORD																								
false	Microsoft Word 2016\Word Options\Security\Trust Center\	Scan encrypted macros in Word Open XML documents	software\policies\microsoft\office\16.0\word\security	wordbypassencryptedmacroscan																																					0	Scan encrypted macros (default)	REG_DWORD
false	Microsoft Word 2016\Word Options\Security\Trust Center\	VBA Macro Notification Settings	software\policies\microsoft\office\16.0\word\security	vbawarnings																3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD	3	Disable all except digitally signed macros	REG_DWORD															
false	Microsoft Word 2016\Word Options\Security\Trust Center\	VBA Macro Notification Settings --> Block certificates from trusted publishers that are only installed in the current user certificate store	software\policies\microsoft\office\16.0\word\security	vbarequirelmtrustedpublisher																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Word 2016\Word Options\Security\Trust Center\	VBA Macro Notification Settings --> Require Extended Key Usage (EKU) for certificates from trusted publishers	software\policies\microsoft\office\16.0\word\security	vbarequiredigsigwithcodesigningeku																0	False	REG_DWORD	0	False	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Word 2016\Word Options\Security\Trust Center\	VBA Macro Notification Settings --> Require macros to be signed by a trusted publisher	software\policies\microsoft\office\16.0\word\security	vbadigsigtrustedpublishers																0	False	REG_DWORD	1	True	REG_DWORD	1	True	REG_DWORD															
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Set default file block behavior	software\policies\microsoft\office\16.0\word\security\fileblock	openinprotectedview																																		0	Blocked files are not opened	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 2 and earlier binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word2files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 2000 binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word2000files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 2003 binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word2003files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 2007 and later binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word2007files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 6.0 binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word60files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 95 binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word95files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word 97 binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	word97files																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\File Block Settings\	Word XP binary documents and templates	software\policies\microsoft\office\16.0\word\security\fileblock	wordxpfiles																																		2	"Open/Save blocked, use open policy"	REG_DWORD			
false	Microsoft Word 2016\Word Options\Security\Trust Center\Trusted Locations\	Disable all trusted locations	software\policies\microsoft\office\16.0\word\security\trusted locations	alllocationsdisabled																												1	Enabled	REG_DWORD									
